NAME|ROOM|IP||OS OS version|CATEGORY|OWNER|AUTHORITY|BARCODE|10 DESCRIPTION: Machine Company| Processor| RAM| HDD||SERIAL NUMBER|INVENTORY STATUS|RACKINFO||POWER UP|SUPPORT TEAM|DEPARTMENT|COMMENTS
586239-cs|ATH413|||Windows 8.1 Enterprise|laptop|yang|yang|586239||Intel i7 4500U @ 1.8 GHz|8|1000||||||||Computer Science|
604047-cs|CSC247|||Windows 7 Enterprise|laptop|ackerl|ackerl|604047|ThinkPad T410i|Intel i3 M370 @ 2.4 GHz|4|250||||||||Computer Science|
abyssus|CSC351|129.128.184.23||Linux Ubuntu 14.04|regular||athess||||||||active|||5||Computer Science|
acme|CSC205|||Linux Ubuntu 14.04|regular||hasell|||Intel Q9400 @2.66GHz|8|||||||||Computer Science|
adair-crk|CSC217|129.128.184.8||Linux Ubuntu 16.04|regular|hayward|hayward|604055||Intel i7 6700|32|1000||||||||Computer Science|
admin-fw1-inside|admin-fw1|129.128.16.252||OpenBSD 4.5|alias|dept|tst||||||||active|||5||Computer Science|internal interface
admin-fw1|CSC231|129.128.22.241||OpenBSD 4.5|regular|dept|tst||Dell PowerEdge 850|Intel Pentium 4 80547 @ 2.66GHz|512MB|||F0YQN91|retired|B||5||Computer Science|TST managed server
admin-fw2-inside|admin-fw2|129.128.16.253||OpenBSD 4.5|alias|dept|tst||||||||active|||5||Computer Science|internal interface
admin-fw2|CSC231|129.128.22.242||OpenBSD 4.5|regular|dept|tst||Dell PowerEdge 850|Intel Pentium 4 80547 @ 2.66GHz|512MB|||B0YQN91|retired|B||5||Computer Science|TST managed server
admin-fw|CSC231|129.128.22.240|| |public carp||tst||Dell PowerEdge 850|Intel Pentium 4 80547 @ 2.66GHz|512MB|||floating|floater|||5||Computer Science|
ag-control|CSC363|129.128.159.197||Windows |regular||pierreb|||Xeon X2||||no-serial|missing|||5||Computer Science|
ahs3|CSC205|129.128.184.33||Linux |regular|ackerl|jiaji|||||||||||||Computer Science|
aicml2|CSC205|129.128.184.32||Linux Ubuntu|regular||hasell|||||||||||||Computer Science|
aicml10|CSC205|129.128.184.97||Linux Ubuntu|regular||hasell||||||||active|||5||Computer Science|On WW
aicml-med|CSC205|129.128.184.29||Linux Ubuntu|regular||hasell|||Intel Core2 6600 @2.4GHz|2|||||||||Computer Science|
aicml-poker|CSC211|||Linux Ubuntu|regular||hasell|||AMD MP2400|2|||||||||Computer Science|
amii-prn|CSC247|129.128.23.177|| |printer|roik|zaiane||HP|MFP M426fdn|||||active|||5||Computer Science|
amii-prn2|CSC247|129.128.23.14|| |printer|roik|zaiane||Brother|HL-5470DW|||||active|||5||Computer Science|
aicml-srv|CSC247|129.128.184.30|| |regular||hasell|||Intel i7 4771 @ 3.50GHz|16|||||||||Computer Science|
airdrie|ATH206|129.128.23.32||Windows 7|regular||hasell|||Intel Q9400 @ 2.66GHz|8|||||||||Computer Science|
akasu-lk|ATH441|||MacOS 10.8|regular|mn|dept|586224|Apple iMac 21.5" A1418|||||C02JXRCXDNCR|active|||5||Computer Science|On NAT
akenside|CSC247|129.128.16.176||Windows XP Pro 5.1.2600|regular|balaski|zaiane|461635||AMD XP3200|2|||ACS04496|active|||5||Computer Science|Admin-Zone
akinsdale|CSC243|129.128.23.143||Linux WPS Ubuntu 16.04|regular||hasell|||Intel Q9400 @ 2.66GHz|8|||||||||Computer Science|
akuinu-riv|CSC205|||Windows 7|regular|ackerl|zaiane|||AMD PN710x3|8|||ACS06970|active|||5||Computer Science|Not Tagged/On NAT
alcomdale|ATH220|129.128.16.191||MacOS 10.8|regular|dept|dept|586222|Apple iMac 21.5" A1418|||||C02JXPNLDNCR|spare|||5||Computer Science|
alcurve|ATH342|||MacOS 10.8|regular|mn|dept|586225|Apple iMac 21.5" A1418|||||C02JXD3QDNCR|active|||5||Computer Science|On NAT
alder-flats|CSC205|129.128.23.173|| |regular||zaiane|473419||Intel Core2 Duo E6550|2|||C7L1TF1|spare|||5||Computer Science|Disk wiped
algar-lake|CCIS1083|129.128.16.196||MacOS 10.8|regular|dept|dept|586226|Apple iMac 21.5" A1418|||||C02JXRFLDNCR|active|||5||Computer Science|Used by Carol Smith in the Fac Sci office (approved by the Chair).
alhambra|ATH241|129.128.16.160||Windows XP Pro|regular||dept||Dell OptiPlex 755|Intel Core2 @ 2.66GHz|2|||||||||Computer Science|
alix|ATH220|129.128.16.197||MacOS 10.8|regular|dept|dept|586227|Apple iMac 21.5" A1418|||||C02JXFX2DNCR|spare|||5||Computer Science|
alliance|ATH252B|129.128.16.161||Windows XP Pro|regular||dept||Dell OptiPlex 755|Intel Core2 @ 2.66GHz|2|||||||||Computer Science|
alpen|CSC315|129.128.22.56|| |||||||||||spare|||||Computer Science|
